
3/10/2014,"Little Richard Logging, Parish, NY 13131",Worker struck and killed while performing logging operations.,Fatality
3/10/2014,"M & M Striping & Power Washing LLC, Italy, TX 76651",Worker backed over by truck during litter control operations. ,Fatality
3/9/2014,"North Star Painting Co, Saint James, LA 70086",Worker killed in fall from bridge.,Fatality
3/9/2014,"R Betances Construccion LLC, Toa Baja, PR 00949",Worker was struck and killed by truck that was backing up.,Fatality
3/9/2014,"U. S. Postal Service, Buffalo, NY 14206",Worker died from head injury suffered in fall.,Fatality
3/8/2014,"DKJR Roofing, Remsen, IA 51051 ",Worker killed in fall from frost covered roof.,Fatality
3/7/2014,"Steve's Auto Service, Buffalo, NY 14211",Worker repairing a fuel pump was fatally burned when gasoline ignited.,Fatality
3/6/2014,"Adar Steel Inc, Brooklyn, NY 11249",Worker killed in fall while installing decking.,Fatality
3/6/2014,"Adventure Photo Tours Inc.,  Overton, NV 89040",Worker was pinned and crushed between rolling vehicle and rocks.,Fatality
3/6/2014,"Bushwick Metals LLC, South Plainfield, NJ 07080",Worker crushed by steel beams.,Fatality
3/6/2014,"Valley Grove Dairy Farm, Hastings, MI 49058",Worker was fatally mauled by a bull.,Fatality
3/6/2014,"WW LLC, Brownfield, TX 79316",Worker crushed and killed by a tank.,Fatality
3/5/2014,"Acme Electric Company, Cedar Rapids, IA 52404",Worker was electrocuted by live electrical storage capacitor. ,Fatality
3/5/2014,"Colonial Plastics, Shelby Twp, MI 48315",Worker checking parts on an injection molding machine was crushed when the machine activated.,Fatality
3/4/2014,"PSEG, Ewing, NJ 08560",Three employees were hospitalized from a gas leak explosion.,Catastrophe
3/4/2014,"St. Vincent De Paul Particular Council of Flint, Flint, MI 48506",Worker was pinned and crushed between trailer and truck.,Fatality
3/4/2014,"Wolf Creek Ski Area, Pagosa Springs, CO 81147",Employee died in a cave-in caused by an avalanche. ,Fatality
3/3/2014,"Confluence Health,  Pateros, WA 98846",Worker killed in motor vehicle collision.,Fatality
3/3/2014,"North Dakota Pipeline Company LLC, Grand Forks, ND 58201",Employee killed in a motor vehicle collision.,Fatality
3/3/2014,"Now and Never, Kersey, CO 80644",Worker killed from exposure to oil tank fumes. ,Fatality
3/2/2014,"Cardinal Logistics Management Corp, Roseburg, OR 97470",Worker killed in vehicle collision.,Fatality
3/2/2014,"LTI Inc.,  Lynden, WA 98264",Worker killed in motor vehicle collision.,Fatality
3/2/2014,"Mobile Diesel Service LLC, Roseburg, OR 97470",Worker performing maintenance on a semi-trailer was crushed between truck and service vehicle.,Fatality
3/2/2014,"Team Steel Fabricators LLC, Youngstown, OH 44505","Worker killed in maintenance shop fire.

",Fatality
3/1/2014,"Bandera Drilling Co. Inc., Big Spring, TX 79720",Worker was crushed by forklift while making repairs. ,Fatality
3/1/2014,"Chad Menefee Construction, Mount Pleasant, TX 75455",Worker died when the dump truck he was operating rolled into a ditch. ,Fatality
2/28/2014,"Borough of Fair Lawn, Fair Lawn, NJ 07410",Worker died after falling from recycling vehicle.,Fatality
2/28/2014,"C G Roxane Water Co., Benton, TN 37307                                                               ",Worker struck and killed by forklift mast.,Fatality
2/28/2014,"East Coast Mines & Materials Corp., East Quogue, NY 11942",Worker killed after being engulfed by mulch.,Fatality
2/28/2014,"Fritchas, New Haven, IN 46774                                               ",Worker crushed by dump truck during snow removal.,Fatality
2/28/2014,"Nordstrom Inc., Spokane, WA  99201",Worker killed in fall from ladder.,Fatality
2/28/2014,"Pace’s Hauling & Clearing, Clayton, NC  27527",Backhoe worker was struck and killed by falling tree.,Fatality
2/28/2014,"Wieser Concrete Products Inc., Portage, WI 53901",Worker crushed structure that fell from overhead crane.,Fatality
2/27/2014,"A & Z General Contractors Inc., Beach Haven, NJ 08008",Worker killed in fall from ladder. ,Fatality
2/27/2014,"Columbus Transport Inc., Chadbourn, NC 28431 ",Worker killed in fall on vertical steel rebar.,Fatality
2/27/2014,"Duke Energy, South Lebanon, OH 45065",Worker struck and killed by collapsed utility pole.  ,Fatality
2/27/2014,"Senaca Foods, Oakfield, WI 53065",Worker died after being caught in a lathe while performing maintenance. ,Fatality
2/27/2014,"Wallington Volunteer Fire Department, Wallington, NJ 07057",Worker responding to fire killed in fall from roof.,Fatality
2/26/2014,"Aztec Grading Inc., Peralta, NM 87042",Worker backed over and killed by a truck while paving the road.,Fatality
2/26/2014,"BT Inc., Kemmerer, WY 83101                                              ",Worker loading semi-trailer truck died in fall from elevated platform.,Fatality
2/26/2014,"Eliseo Castro, Houston, TX 77043",Worker was electrocuted when the leg of a scaffold he was dismantling contacted a power line.,Fatality
2/26/2014,"Heartland Manufacturing Group, Peculiar, MO 64078",Worker was crushed between two trucks.,Fatality
2/26/2014,"Simpson Environmental Services Inc., Hollywood, FL 33019",Worker killed in fall from scaffold. ,Fatality
2/25/2014,"J.F. Electric Incorporated, Pekin, IL 61554",Worker electrocuted while transferring power from transmission lines. ,Fatality
2/24/2014,"Hogan Inc., Naples, FL 34103",Worker electrocuted when the pole saw he was using to trim trees contacted power lines.,Fatality
2/24/2014,"Maverick Drilling, Missouri City, TX 77489",Two workers on a drilling rig were electrocuted after contacting overhead power lines.,Fatality
2/24/2014,"Pasadena Tank Corporation, Corpus Christi, TX 78409",Worker struck and killed by pipe that fell from crane.,Fatality
2/23/2014,"Five Star Roustabouts LLC, O'Brien, TX 79539",Worker struck and killed by motor vehicle.  ,Fatality
2/22/2014,"Kilgore Flares Co LLC,Toone, TN                                      ",Worker removing residual flare materials died from burns suffered in flash fire/explosion.,Fatality
2/22/2014,"Legal Sea Foods LLC, Huntington Station, NY 11746",Restaurant worker died from carbon monoxide exposure.,Fatality
2/22/2014,"Stubbs Heating and Cooling, Magee, MS 39111",Worker struck and killed by a crane boom.,Fatality
2/21/2014,"Keith R Olmsted, Shiocton, WI 54170",Worker struck and killed by a bulk milk trailer.,Fatality
2/21/2014,"MidSouth Elevator LLC, Jackson, MS 39212",Worker on top of elevator performing repairs was crushed against  ceiling when the elevator was activated.,Fatality
2/21/2014,"Ray Eager and Sons LLC, Cochranville, PA 19330",Worker using pressure washer was killed in fall through floor opening.,Fatality
2/21/2014,"Tacoma Moving & Storage Co., Kent, WA 98032",Worker was crushed between two trucks.,Fatality
2/21/2014,"Vintage Gardens Nursery & Feed, Portola, CA 96122",Worker was struck and killed by a falling tree.,Fatality
2/20/2014,"Film Allman LLC, Jesup, GA 31598",Film crew worker was struck and killed by a train while preparing to shoot a scene.,Fatality
2/20/2014,"Helena Chemical Company, Benton, IA 50835",Worker struck and killed when a steel belt conveyor system fell on him.,Fatality
2/20/2014,"Joseph Bates, Lexington, KY 40508",Worker was struck and killed by wood that fell from roof.,Fatality
2/20/2014,"Monti Home Improvements Inc., Monticello, IA 52310",Worker installing garage door died in fall from scaffold.,Fatality
2/19/2014,"Arkansas Steel Associates LLC, Newport, AR 72112",Employer killed by molten steel that spilled from an overhead crane. ,Fatality
2/19/2014,"Folsom Construction LLC, South Windsor, CT 06074",Owner and driver electrocuted when their dump truck contacted a transmission line.  ,Fatality
2/18/2014,"KB Oil and Gas, Inc., McKittrick, CA 93251",Worker killed in fall from oil rig cab.,Fatality
2/18/2014,"MGM Grand Las Vegas, Las Vegas, NV 89109",Worker died after tripping and falling on curb.  ,Fatality
2/18/2014,"Thermo Power Industries, Long Beach, CA 90802",Worker killed in fall from scaffold.,Fatality
2/15/2014,"Bunn-O-Matic, Creston, IA 50801",Worker died after slipping and falling on icy stairs.,Fatality
2/15/2014,"Cyclone Trucking, Inc., Douglas, WY  82633",Worker was struck and killed by truck as it was backing up.,Fatality
2/14/2014,"64 Stefanak Drive, West Middlesex, PA 16159",Worker died after being pinned between a tractor cab and trailer. ,Fatality
2/14/2014,"Il Dept of Transportation - Dist. 4 Wyoming Yard, Toulon, IL 61483",Worker was struck and killed by motor vehicle while assisting motorists.,Fatality
2/14/2014,"Logistics One, Inc., Fairlee, VT  05045",Worker was struck and killed by a motor vehicle.,Fatality
2/14/2014,"Republic Steel, Lorain, OH 44055",Worker struck and killed by railroad car that derailed.,Fatality
2/14/2014,"Rexel Holdings USA Corp., Houston, TX 77024",Worker died in fall from a warehouse dock. ,Fatality
2/14/2014,"United States Steel Corporation, Clairton, PA 15025",Worker killed from fall into a trench.,Fatality
2/13/2014,"Thomas N. Richards & Son, Poland, ME 04274",Worker killed when a logging truck rolled over and crushed him.  ,Fatality
2/13/2014,"Volvo Construction Equipment & Services, San Leandro, CA  94577",Worker was crushed by machine that fell off its support stands.,Fatality
2/12/2014,"358 Elmwood Ave MCM Auto Sales LLC, Providence, RI 02907",Worker struck and killed by tow truck.  ,Fatality
2/12/2014,"MTA NYCT DOB MJ Quill Depot, NYC, NY 10018",Worker was killed in vehicle collision.,Fatality
2/12/2014,"Tanner Timber Services LLC, Kountze, TX 77625",Worker struck and killed by log while feeding it into a bull edger. ,Fatality
2/11/2014,"Anderson Farms Inc., Heyburn, ID 83336",Worker killed after falling into a feed mixer.,Fatality
2/11/2014,"H&E Equipment Services, Inc., Los Angeles, CA 90015",Worker died when the boom lift he was in was struck by a bus. ,Fatality
2/11/2014,"Nucor Steel, Blytheville, AR 72315",Train operator died after being caught between locomotive and a derailed car.,Fatality
2/11/2014,"WAH, Inc., Enterprise, OR  97828",Cross-country skiing guide was killed in an avalanche.,Fatality
2/10/2014,"Brindle Technical Logging, Inc., Morton, WA 98356",Worker was struck and killed by a log.,Fatality
2/10/2014,"New Hampshire Ball Bearing, Peterborough, NH 03458",Eight workers hospitalized after a drum of nitric acid solution exploded.,Catastrophe
